hour_of_day,tracking_regime,n_obs,iec_mediana,angle_mediano,solar_mediana,vwc_s1_mediana,vwc_s2_mediana
12,TRACKING_PM,75,0.7693333333333334,31.8,65.43234685656456,24.0,20.75
6,TRACKING_AM,10,0.6022913055254605,-32.239999999999995,15.215869830910954,29.174999999999997,31.049999999999997
